id,scope,transitions,t1_cycle_type,t0_rank,t0_indegrees,t0_kernel,t0_kernel_sizes,collision_pair,collision_orbit,collision_orbit_size,conjugacy_canonical,automorphism_count,semigroup_size,semigroup_rank_profile,maps,endpoints,block_ranks,block_idempotent,b_equals_p_f,separating_starts,champion_separator,global_id
0,permutation_pool,"[[0,1],[1,2],[2,3],[3,4],[4,0]]",[5],5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[2,3],[3,4],[4,0]]",5,5,"{""5"":5}","{""A"":[2,3,4,0,1],""C"":[2,3,4,0,1],""B"":[2,3,4,0,1],""U"":[4,0,1,2,3],""V"":[4,0,1,2,3]}","{""A"":2,""C"":2,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,8222
1,permutation_pool,"[[0,1],[1,2],[2,3],[4,0],[3,4]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[2,3],[4,0],[3,4]]",1,120,"{""5"":120}","{""A"":[2,4,3,1,0],""C"":[2,3,4,0,1],""B"":[2,3,4,1,0],""U"":[4,0,1,3,2],""V"":[4,0,1,3,2]}","{""A"":2,""C"":2,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,8246
2,permutation_pool,"[[0,1],[1,2],[3,0],[2,4],[4,3]]","[2,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,0],[2,4],[4,3]]",1,120,"{""5"":120}","{""A"":[3,4,1,2,0],""C"":[2,4,3,1,0],""B"":[2,4,1,3,0],""U"":[3,0,4,1,2],""V"":[3,0,4,1,2]}","{""A"":3,""C"":2,""B"":2,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,8425
3,permutation_pool,"[[0,1],[1,2],[3,0],[4,3],[2,4]]","[1,1,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,0],[4,3],[2,4]]",1,60,"{""5"":60}","{""A"":[3,4,1,2,0],""C"":[2,3,4,0,1],""B"":[2,3,1,4,0],""U"":[4,0,3,1,2],""V"":[4,0,3,1,2]}","{""A"":3,""C"":2,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,8541
4,permutation_pool,"[[0,1],[1,2],[3,3],[4,4],[2,0]]",[5],5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,3],[4,4],[2,0]]",1,60,"{""5"":60}","{""A"":[3,2,0,4,1],""C"":[2,4,3,1,0],""B"":[2,4,0,3,1],""U"":[3,0,2,1,4],""V"":[3,0,2,1,4]}","{""A"":3,""C"":2,""B"":2,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,9237
5,permutation_pool,"[[0,1],[1,2],[3,4],[2,3],[4,0]]","[1,4]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[2,3],[4,0],[3,4]]",1,120,"{""5"":120}","{""A"":[3,2,0,4,1],""C"":[2,3,4,0,1],""B"":[2,3,0,4,1],""U"":[4,0,2,1,3],""V"":[4,0,2,1,3]}","{""A"":3,""C"":2,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,9597
6,permutation_pool,"[[0,1],[2,0],[1,3],[3,4],[4,2]]","[2,3]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[1,2],[3,0],[2,4],[4,3]]",1,120,"{""5"":120}","{""A"":[3,2,4,1,0],""C"":[3,4,1,2,0],""B"":[3,1,4,2,0],""U"":[2,4,0,1,3],""V"":[2,4,0,1,3]}","{""A"":3,""C"":3,""B"":3,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,10199
7,permutation_pool,"[[0,1],[2,0],[1,3],[4,2],[3,4]]","[1,2,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[1,3],[4,2],[3,4]]",1,10,"{""5"":10}","{""A"":[4,2,3,0,1],""C"":[3,4,1,2,0],""B"":[3,1,4,0,2],""U"":[2,4,0,3,1],""V"":[2,4,0,3,1]}","{""A"":4,""C"":3,""B"":3,""U"":2,""V"":2}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,10271
8,permutation_pool,"[[0,1],[2,0],[3,2],[1,4],[4,3]]","[1,2,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[3,2],[1,4],[4,3]]",1,60,"{""5"":60}","{""A"":[3,2,4,1,0],""C"":[2,4,3,1,0],""B"":[2,1,4,3,0],""U"":[3,4,0,1,2],""V"":[3,4,0,1,2]}","{""A"":3,""C"":2,""B"":2,""U"":3,""V"":3}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,11050
9,permutation_pool,"[[0,1],[2,0],[3,2],[4,3],[1,4]]","[1,1,1,2]",5,"[1,1,1,1,1]","[[0],[1],[2],[3],[4]]","[1,1,1,1,1]",,[],0,"[[0,1],[2,0],[3,2],[4,3],[1,4]]",1,120,"{""5"":120}","{""A"":[3,2,4,1,0],""C"":[2,3,4,0,1],""B"":[2,1,3,4,0],""U"":[4,3,0,1,2],""V"":[4,3,0,1,2]}","{""A"":3,""C"":2,""B"":2,""U"":4,""V"":4}","{""A"":5,""C"":5,""B"":5,""U"":5,""V"":5}","{""A"":false,""C"":false,""B"":false,""U"":false,""V"":false}",True,[],False,11186
